# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-300.0032	0.0201	0.0025	1.0000	3.0000
-250.0110	0.0224	0.0025	1.0000	3.0000
-199.9164	0.0255	0.0022	1.0000	3.0000
-150.0484	0.0286	0.0025	1.0000	3.0000
-99.9348	0.0308	0.0023	1.0000	3.0000
-49.9338	0.0339	0.0023	1.0000	3.0000
0.0148	0.0373	0.0023	1.0000	3.0000
49.9450	0.0410	0.0027	1.0000	3.0000
100.0140	0.0431	0.0022	1.0000	3.0000
150.0720	0.0457	0.0024	1.0000	3.0000
199.9044	0.0484	0.0022	1.0000	3.0000
249.9770	0.0510	0.0026	1.0000	3.0000
299.9324	0.0521	0.0021	1.0000	3.0000
349.9504	0.0538	0.0020	1.0000	3.0000
399.9868	0.0536	0.0023	1.0000	3.0000
449.9680	0.0522	0.0025	1.0000	3.0000
499.9852	0.0535	0.0025	1.0000	3.0000
549.9420	0.0534	0.0025	1.0000	3.0000
599.9320	0.0540	0.0024	1.0000	3.0000
600.0080	0.0552	0.0024	-1.0000	3.0000
550.0712	0.0532	0.0023	-1.0000	3.0000
499.9108	0.0535	0.0030	-1.0000	3.0000
450.0554	0.0506	0.0023	-1.0000	3.0000
399.9600	0.0499	0.0024	-1.0000	3.0000
350.0012	0.0496	0.0023	-1.0000	3.0000
300.0020	0.0477	0.0026	-1.0000	3.0000
250.0662	0.0470	0.0023	-1.0000	3.0000
200.0280	0.0459	0.0024	-1.0000	3.0000
149.9168	0.0441	0.0026	-1.0000	3.0000
99.9672	0.0424	0.0025	-1.0000	3.0000
50.0354	0.0397	0.0025	-1.0000	3.0000
0.0856	0.0359	0.0027	-1.0000	3.0000
-50.0316	0.0328	0.0025	-1.0000	3.0000
-100.0326	0.0300	0.0027	-1.0000	3.0000
-149.9040	0.0277	0.0021	-1.0000	3.0000
-200.0328	0.0244	0.0022	-1.0000	3.0000
-249.9096	0.0224	0.0026	-1.0000	3.0000
-299.9310	0.0193	0.0027	-1.0000	3.0000
-350.0570	0.0182	0.0021	-1.0000	3.0000
-399.9948	0.0167	0.0026	-1.0000	3.0000
-450.0280	0.0148	0.0022	-1.0000	3.0000
-500.0032	0.0160	0.0025	-1.0000	3.0000
-549.9380	0.0157	0.0026	-1.0000	3.0000
-600.0208	0.0163	0.0027	-1.0000	3.0000
-599.9600	0.0135	0.0023	1.0000	4.0000
-549.9424	0.0124	0.0023	1.0000	4.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
0.0000	0.0000	0.0000	0.0000	0.0000
