# B_down (mT)	 U_down (V) 
600.0080	0.0542
595.0160	0.0551
590.0000	0.0550
585.0388	0.0546
580.0038	0.0540
574.9880	0.0532
570.0180	0.0532
564.9900	0.0527
560.0078	0.0525
554.9936	0.0539
550.0712	0.0539
544.9430	0.0534
539.9646	0.0537
535.0800	0.0533
529.9840	0.0538
525.0050	0.0537
520.0124	0.0532
514.9148	0.0531
510.0160	0.0531
504.9724	0.0536
499.9108	0.0540
495.0020	0.0542
490.0404	0.0534
485.0068	0.0532
480.0148	0.0533
475.0644	0.0539
470.0720	0.0544
465.0488	0.0546
460.0528	0.0551
455.0712	0.0558
450.0554	0.0557
445.0270	0.0557
439.9902	0.0554
434.9514	0.0546
430.0844	0.0536
425.0196	0.0529
419.9164	0.0535
415.0064	0.0528
409.9200	0.0525
405.0300	0.0523
399.9600	0.0520
395.0802	0.0517
390.0852	0.0515
385.0918	0.0516
379.9386	0.0510
374.9856	0.0509
370.0556	0.0505
364.9242	0.0517
359.9592	0.0520
354.9912	0.0513
350.0012	0.0511
345.0190	0.0509
340.0940	0.0505
334.9712	0.0505
330.0412	0.0499
324.9000	0.0502
319.9000	0.0508
314.9060	0.0515
309.9360	0.0519
304.9670	0.0529
300.0020	0.0535
295.0220	0.0539
289.9820	0.0543
284.9490	0.0541
279.9440	0.0535
274.9360	0.0532
269.9160	0.0521
264.9030	0.0514
259.9180	0.0518
254.9190	0.0518
250.0662	0.0521
245.0096	0.0510
239.9446	0.0506
235.0840	0.0508
230.0340	0.0506
224.9888	0.0515
219.9788	0.0523
214.9718	0.0523
209.9868	0.0525
205.0030	0.0528
200.0280	0.0526
195.0482	0.0534
190.0332	0.0531
185.0134	0.0529
179.9584	0.0523
174.9082	0.0516
170.0938	0.0514
165.0752	0.0512
160.0152	0.0504
154.9568	0.0508
149.9168	0.0508
145.0774	0.0505
140.0124	0.0507
134.9486	0.0506
129.9136	0.0499
125.0800	0.0501
120.0700	0.0498
115.0600	0.0491
109.9400	0.0482
105.0248	0.0478
99.9672	0.0470
94.9122	0.0457
90.0502	0.0445
84.9852	0.0432
79.9294	0.0416
75.0766	0.0400
70.0480	0.0389
65.0230	0.0371
59.9628	0.0354
55.1004	0.0342
50.0354	0.0326
44.9704	0.0309
40.1000	0.0293
35.0250	0.0275
29.9820	0.0246
24.9470	0.0229
19.9000	0.0207
15.0520	0.0188
9.9868	0.0173
4.9168	0.0153
0.0856	0.0137
-4.9344	0.0122
-9.9796	0.0107
-15.0346	0.0084
-20.0896	0.0065
-24.9424	0.0048
-29.9940	0.0030
-35.0440	0.0013
-39.9016	-0.0009
-44.9666	-0.0029
-50.0316	-0.0048
-55.0966	-0.0067
-59.9620	-0.0085
-65.0320	-0.0104
-70.0810	-0.0124
-74.9146	-0.0140
-79.9664	-0.0160
-85.0314	-0.0182
-89.9042	-0.0197
-94.9892	-0.0216
-100.0326	-0.0232
-105.0376	-0.0248
-110.0894	-0.0263
-114.9806	-0.0273
-120.0420	-0.0291
-125.0670	-0.0308
-129.8998	-0.0319
-134.9448	-0.0329
-139.9942	-0.0336
-145.0492	-0.0341
-149.9040	-0.0342
-154.9640	-0.0349
-160.0100	-0.0361
-165.0350	-0.0365
-170.0660	-0.0380
-174.9044	-0.0384
-179.9444	-0.0379
-184.9844	-0.0374
-190.0550	-0.0380
-194.9750	-0.0377
-200.0328	-0.0380
-204.9478	-0.0389
-209.9108	-0.0400
-214.9758	-0.0404
-220.0584	-0.0415
-224.9736	-0.0412
-230.0516	-0.0418
-235.0216	-0.0420
-240.0140	-0.0426
-245.0640	-0.0426
-249.9096	-0.0432
-254.9496	-0.0438
-259.9860	-0.0440
-265.0110	-0.0437
-270.0312	-0.0440
-275.0362	-0.0440
-280.0496	-0.0439
-285.0896	-0.0441
-289.9210	-0.0444
-294.9260	-0.0448
-299.9310	-0.0445
-304.9360	-0.0435
-309.9320	-0.0432
-315.0904	-0.0425
-320.0588	-0.0432
-325.0538	-0.0438
-330.0416	-0.0435
-335.0066	-0.0428
-339.9644	-0.0416
-345.0968	-0.0417
-350.0570	-0.0419
-355.0820	-0.0415
-360.0762	-0.0414
-364.9912	-0.0409
-369.9398	-0.0413
-374.9748	-0.0417
-379.9930	-0.0423
-384.9680	-0.0423
-389.9332	-0.0430
-395.0708	-0.0439
-399.9948	-0.0444
-405.0804	-0.0455
-409.9722	-0.0462
-415.0630	-0.0469
-419.9600	-0.0474
-425.0560	-0.0476
-429.9626	-0.0480
-435.0742	-0.0485
-439.9604	-0.0497
-445.0096	-0.0493
-450.0280	-0.0495
-455.0200	-0.0494
-460.0760	-0.0495
-464.9760	-0.0490
-470.0040	-0.0482
-474.9960	-0.0475
-480.0108	-0.0460
-485.0340	-0.0467
-490.0614	-0.0462
-495.0898	-0.0453
-500.0032	-0.0453
-505.0900	-0.0443
-510.0820	-0.0445
-515.0668	-0.0447
-519.9652	-0.0464
-525.0560	-0.0461
-529.9752	-0.0456
-535.0292	-0.0452
-539.9540	-0.0445
-545.0456	-0.0450
-549.9380	-0.0452
-555.0260	-0.0460
-559.9400	-0.0454
-564.9732	-0.0453
-569.9506	-0.0464
-575.0566	-0.0472
-580.0456	-0.0479
-585.0428	-0.0481
-590.0764	-0.0478
-595.0092	-0.0483
-600.0208	-0.0476
