# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
-335.0648	-0.0500	334.9712	0.0505
-329.9064	-0.0495	330.0412	0.0499
-324.9432	-0.0494	324.9000	0.0502
-319.9632	-0.0484	319.9000	0.0508
-314.9800	-0.0470	314.9060	0.0515
-309.9800	-0.0463	309.9360	0.0519
-304.9832	-0.0454	304.9670	0.0529
-300.0032	-0.0451	300.0020	0.0535
-295.0240	-0.0449	295.0220	0.0539
-290.0490	-0.0443	289.9820	0.0543
-285.0636	-0.0436	284.9490	0.0541
-280.0236	-0.0432	279.9440	0.0535
-274.9900	-0.0435	274.9360	0.0532
-269.9900	-0.0437	269.9160	0.0521
-264.9940	-0.0433	264.9030	0.0514
-260.0190	-0.0428	259.9180	0.0518
-255.0360	-0.0427	254.9190	0.0518
-250.0110	-0.0426	250.0662	0.0521
-244.9852	-0.0422	245.0096	0.0510
-239.9552	-0.0423	239.9446	0.0506
-234.9236	-0.0423	235.0840	0.0508
-230.0852	-0.0422	230.0340	0.0506
-225.0482	-0.0421	224.9888	0.0515
-220.0332	-0.0416	219.9788	0.0523
-215.0158	-0.0416	214.9718	0.0523
-209.9808	-0.0417	209.9868	0.0525
-204.9464	-0.0417	205.0030	0.0528
-199.9164	-0.0421	200.0280	0.0526
-195.0892	-0.0424	195.0482	0.0534
-190.0792	-0.0424	190.0332	0.0531
-185.0668	-0.0424	185.0134	0.0529
-180.0268	-0.0416	179.9584	0.0523
-174.9856	-0.0422	174.9082	0.0516
-169.9306	-0.0418	170.0938	0.0514
-165.0802	-0.0411	165.0752	0.0512
-160.0852	-0.0410	160.0152	0.0504
-155.0884	-0.0400	154.9568	0.0508
-150.0484	-0.0397	149.9168	0.0508
-145.0086	-0.0395	145.0774	0.0505
-139.9736	-0.0396	140.0124	0.0507
-134.9382	-0.0398	134.9486	0.0506
-130.0950	-0.0399	129.9136	0.0499
-125.0500	-0.0395	125.0800	0.0501
-120.0350	-0.0393	120.0700	0.0498
-115.0200	-0.0389	115.0600	0.0491
-109.9350	-0.0377	109.9400	0.0482
-105.0534	-0.0368	105.0248	0.0478
-99.9348	-0.0364	99.9672	0.0470
-95.0196	-0.0353	94.9122	0.0457
-89.9686	-0.0334	90.0502	0.0445
-84.9236	-0.0318	84.9852	0.0432
-80.0584	-0.0297	79.9294	0.0416
-74.9884	-0.0282	75.0766	0.0400
-69.9272	-0.0267	70.0480	0.0389
-65.0696	-0.0248	65.0230	0.0371
-60.0264	-0.0241	59.9628	0.0354
-54.9864	-0.0226	55.1004	0.0342
-49.9338	-0.0212	50.0354	0.0326
-45.0810	-0.0198	44.9704	0.0309
-40.0180	-0.0183	40.1000	0.0293
-34.9530	-0.0167	35.0250	0.0275
-30.0944	-0.0149	29.9820	0.0246
-25.0344	-0.0131	24.9470	0.0229
-20.0010	-0.0119	19.9000	0.0207
-14.9760	-0.0096	15.0520	0.0188
-9.9244	-0.0086	9.9868	0.0173
-5.0668	-0.0066	4.9168	0.0153
0.0148	-0.0044	0.0856	0.0137
4.9012	-0.0015	-4.9344	0.0122
9.9300	0.0008	-9.9796	0.0107
14.9300	0.0039	-15.0346	0.0084
19.9742	0.0058	-20.0896	0.0065
25.0392	0.0082	-24.9424	0.0048
29.9080	0.0095	-29.9940	0.0030
34.9830	0.0112	-35.0440	0.0013
40.0388	0.0131	-39.9016	-0.0009
45.0838	0.0151	-44.9666	-0.0029
49.9450	0.0169	-50.0316	-0.0048
55.0200	0.0184	-55.0966	-0.0067
59.9004	0.0200	-59.9620	-0.0085
64.9904	0.0215	-65.0320	-0.0104
70.0692	0.0232	-70.0810	-0.0124
74.9364	0.0254	-74.9146	-0.0140
79.9908	0.0278	-79.9664	-0.0160
85.0308	0.0300	-85.0314	-0.0182
90.0864	0.0322	-89.9042	-0.0197
94.9536	0.0341	-94.9892	-0.0216
100.0140	0.0364	-100.0326	-0.0232
105.0640	0.0381	-105.0376	-0.0248
110.0948	0.0396	-110.0894	-0.0263
114.9044	0.0409	-114.9806	-0.0273
119.9364	0.0427	-120.0420	-0.0291
124.9964	0.0434	-125.0670	-0.0308
130.0608	0.0438	-129.8998	-0.0319
134.9280	0.0451	-134.9448	-0.0329
139.9840	0.0462	-139.9942	-0.0336
145.0190	0.0468	-145.0492	-0.0341
150.0720	0.0478	-149.9040	-0.0342
154.9488	0.0483	-154.9640	-0.0349
160.0198	0.0492	-160.0100	-0.0361
165.0748	0.0496	-165.0350	-0.0365
169.9372	0.0499	-170.0660	-0.0380
175.0222	0.0506	-174.9044	-0.0384
180.0896	0.0514	-179.9444	-0.0379
184.9184	0.0514	-184.9844	-0.0374
189.9610	0.0520	-190.0550	-0.0380
195.0360	0.0521	-194.9750	-0.0377
199.9044	0.0524	-200.0328	-0.0380
204.9644	0.0526	-204.9478	-0.0389
210.0112	0.0531	-209.9108	-0.0400
215.0162	0.0529	-214.9758	-0.0404
220.0272	0.0529	-220.0584	-0.0415
225.0572	0.0525	-224.9736	-0.0412
230.0848	0.0523	-230.0516	-0.0418
234.9040	0.0523	-235.0216	-0.0420
239.9250	0.0516	-240.0140	-0.0426
244.9500	0.0518	-245.0640	-0.0426
249.9770	0.0525	-249.9096	-0.0432
255.0120	0.0522	-254.9496	-0.0438
260.0450	0.0521	-259.9860	-0.0440
265.0700	0.0525	-265.0110	-0.0437
270.0990	0.0524	-270.0312	-0.0440
274.9422	0.0523	-275.0362	-0.0440
279.9872	0.0522	-280.0496	-0.0439
285.0322	0.0522	-285.0896	-0.0441
290.0748	0.0516	-289.9210	-0.0444
294.9036	0.0517	-294.9260	-0.0448
299.9324	0.0514	-299.9310	-0.0445
304.9524	0.0512	-304.9360	-0.0435
309.9706	0.0510	-309.9320	-0.0432
314.9756	0.0518	-315.0904	-0.0425
319.9806	0.0525	-320.0588	-0.0432
324.9856	0.0536	-325.0538	-0.0438
329.9894	0.0536	-330.0416	-0.0435
334.9844	0.0533	-335.0066	-0.0428
339.9788	0.0527	-339.9644	-0.0416
344.9688	0.0527	-345.0968	-0.0417
349.9504	0.0519	-350.0570	-0.0419
355.0672	0.0522	-355.0820	-0.0415
359.9928	0.0512	-360.0762	-0.0414
364.9478	0.0505	-364.9912	-0.0409
369.9036	0.0507	-369.9398	-0.0413
375.0620	0.0500	-374.9748	-0.0417
380.0190	0.0501	-379.9930	-0.0423
384.9640	0.0500	-384.9680	-0.0423
389.9080	0.0495	-389.9332	-0.0430
395.0456	0.0496	-395.0708	-0.0439
399.9868	0.0496	-399.9948	-0.0444
404.9318	0.0501	-405.0804	-0.0455
410.0704	0.0502	-409.9722	-0.0462
415.0004	0.0503	-415.0630	-0.0469
419.9248	0.0502	-419.9600	-0.0474
425.0312	0.0500	-425.0560	-0.0476
429.9460	0.0500	-429.9626	-0.0480
435.0680	0.0501	-435.0742	-0.0485
439.9840	0.0498	-439.9604	-0.0497
445.0800	0.0498	-445.0096	-0.0493
449.9680	0.0496	-450.0280	-0.0495
455.0328	0.0500	-455.0200	-0.0494
459.9072	0.0497	-460.0760	-0.0495
464.9824	0.0500	-464.9760	-0.0490
470.0498	0.0496	-470.0040	-0.0482
474.9148	0.0495	-474.9960	-0.0475
479.9296	0.0493	-480.0108	-0.0460
484.9060	0.0499	-485.0340	-0.0467
490.0636	0.0497	-490.0614	-0.0462
495.0244	0.0504	-495.0898	-0.0453
499.9852	0.0507	-500.0032	-0.0453
504.9460	0.0507	-505.0900	-0.0443
510.0712	0.0504	-510.0820	-0.0445
515.0008	0.0515	-515.0668	-0.0447
520.0750	0.0514	-519.9652	-0.0464
524.9576	0.0524	-525.0560	-0.0461
530.0228	0.0524	-529.9752	-0.0456
535.0740	0.0531	-535.0292	-0.0452
540.0636	0.0526	-539.9540	-0.0445
545.0280	0.0526	-545.0456	-0.0450
549.9420	0.0535	-549.9380	-0.0452
555.0128	0.0531	-555.0260	-0.0460
560.0584	0.0534	-559.9400	-0.0454
565.0280	0.0535	-564.9732	-0.0453
569.9672	0.0529	-569.9506	-0.0464
574.9154	0.0534	-575.0566	-0.0472
579.9696	0.0528	-580.0456	-0.0479
585.0164	0.0537	-585.0428	-0.0481
589.9378	0.0544	-590.0764	-0.0478
594.9272	0.0545	-595.0092	-0.0483
599.9320	0.0543	-600.0208	-0.0476
