# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
-599.9600	-0.0466	600.0080	0.0542
-594.9676	-0.0485	595.0160	0.0551
-590.0110	-0.0486	590.0000	0.0550
-585.0048	-0.0489	585.0388	0.0546
-580.0792	-0.0491	580.0038	0.0540
-575.0386	-0.0494	574.9880	0.0532
-570.0542	-0.0492	570.0180	0.0532
-565.0082	-0.0491	564.9900	0.0527
-560.0576	-0.0488	560.0078	0.0525
-555.0638	-0.0486	554.9936	0.0539
-549.9424	-0.0489	550.0712	0.0539
-544.9612	-0.0489	544.9430	0.0534
-539.9436	-0.0485	539.9646	0.0537
-535.0710	-0.0487	535.0800	0.0533
-530.0030	-0.0488	529.9840	0.0538
-525.0824	-0.0490	525.0050	0.0537
-519.9692	-0.0484	520.0124	0.0532
-514.9634	-0.0480	514.9148	0.0531
-509.9444	-0.0476	510.0160	0.0531
-505.0668	-0.0477	504.9724	0.0536
-499.9818	-0.0477	499.9108	0.0540
-495.0470	-0.0477	495.0020	0.0542
-489.9104	-0.0477	490.0404	0.0534
-484.9496	-0.0474	485.0068	0.0532
-479.9692	-0.0475	480.0148	0.0533
-474.9720	-0.0475	475.0644	0.0539
-469.9460	-0.0481	470.0720	0.0544
-465.0960	-0.0485	465.0488	0.0546
-460.0656	-0.0482	460.0528	0.0551
-455.0424	-0.0475	455.0712	0.0558
-449.9964	-0.0480	450.0554	0.0557
-444.9420	-0.0486	445.0270	0.0557
-440.0700	-0.0488	439.9902	0.0554
-435.0000	-0.0490	434.9514	0.0546
-429.9520	-0.0492	430.0844	0.0536
-424.9080	-0.0494	425.0196	0.0529
-420.0258	-0.0499	419.9164	0.0535
-414.9454	-0.0507	415.0064	0.0528
-410.0460	-0.0508	409.9200	0.0525
-404.9500	-0.0511	405.0300	0.0523
-400.0450	-0.0511	399.9600	0.0520
-394.9440	-0.0507	395.0802	0.0517
-390.0440	-0.0506	390.0852	0.0515
-384.9436	-0.0509	385.0918	0.0516
-379.9886	-0.0508	379.9386	0.0510
-375.0308	-0.0510	374.9856	0.0509
-370.0408	-0.0506	370.0556	0.0505
-365.0544	-0.0510	364.9242	0.0517
-359.9116	-0.0506	359.9592	0.0520
-354.9636	-0.0501	354.9912	0.0513
-349.9936	-0.0501	350.0012	0.0511
-345.0224	-0.0501	345.0190	0.0509
-340.0424	-0.0501	340.0940	0.0505
