# B_up (mT)	 U_up (V)
-599.9600	-0.0466
-594.9676	-0.0485
-590.0110	-0.0486
-585.0048	-0.0489
-580.0792	-0.0491
-575.0386	-0.0494
-570.0542	-0.0492
-565.0082	-0.0491
-560.0576	-0.0488
-555.0638	-0.0486
-549.9424	-0.0489
-544.9612	-0.0489
-539.9436	-0.0485
-535.0710	-0.0487
-530.0030	-0.0488
-525.0824	-0.0490
-519.9692	-0.0484
-514.9634	-0.0480
-509.9444	-0.0476
-505.0668	-0.0477
-499.9818	-0.0477
-495.0470	-0.0477
-489.9104	-0.0477
-484.9496	-0.0474
-479.9692	-0.0475
-474.9720	-0.0475
-469.9460	-0.0481
-465.0960	-0.0485
-460.0656	-0.0482
-455.0424	-0.0475
-449.9964	-0.0480
-444.9420	-0.0486
-440.0700	-0.0488
-435.0000	-0.0490
-429.9520	-0.0492
-424.9080	-0.0494
-420.0258	-0.0499
-414.9454	-0.0507
-410.0460	-0.0508
-404.9500	-0.0511
-400.0450	-0.0511
-394.9440	-0.0507
-390.0440	-0.0506
-384.9436	-0.0509
-379.9886	-0.0508
-375.0308	-0.0510
-370.0408	-0.0506
-365.0544	-0.0510
-359.9116	-0.0506
-354.9636	-0.0501
-349.9936	-0.0501
-345.0224	-0.0501
-340.0424	-0.0501
-335.0648	-0.0500
-329.9064	-0.0495
-324.9432	-0.0494
-319.9632	-0.0484
-314.9800	-0.0470
-309.9800	-0.0463
-304.9832	-0.0454
-300.0032	-0.0451
-295.0240	-0.0449
-290.0490	-0.0443
-285.0636	-0.0436
-280.0236	-0.0432
-274.9900	-0.0435
-269.9900	-0.0437
-264.9940	-0.0433
-260.0190	-0.0428
-255.0360	-0.0427
-250.0110	-0.0426
-244.9852	-0.0422
-239.9552	-0.0423
-234.9236	-0.0423
-230.0852	-0.0422
-225.0482	-0.0421
-220.0332	-0.0416
-215.0158	-0.0416
-209.9808	-0.0417
-204.9464	-0.0417
-199.9164	-0.0421
-195.0892	-0.0424
-190.0792	-0.0424
-185.0668	-0.0424
-180.0268	-0.0416
-174.9856	-0.0422
-169.9306	-0.0418
-165.0802	-0.0411
-160.0852	-0.0410
-155.0884	-0.0400
-150.0484	-0.0397
-145.0086	-0.0395
-139.9736	-0.0396
-134.9382	-0.0398
-130.0950	-0.0399
-125.0500	-0.0395
-120.0350	-0.0393
-115.0200	-0.0389
-109.9350	-0.0377
-105.0534	-0.0368
-99.9348	-0.0364
-95.0196	-0.0353
-89.9686	-0.0334
-84.9236	-0.0318
-80.0584	-0.0297
-74.9884	-0.0282
-69.9272	-0.0267
-65.0696	-0.0248
-60.0264	-0.0241
-54.9864	-0.0226
-49.9338	-0.0212
-45.0810	-0.0198
-40.0180	-0.0183
-34.9530	-0.0167
-30.0944	-0.0149
-25.0344	-0.0131
-20.0010	-0.0119
-14.9760	-0.0096
-9.9244	-0.0086
-5.0668	-0.0066
0.0148	-0.0044
4.9012	-0.0015
9.9300	0.0008
14.9300	0.0039
19.9742	0.0058
25.0392	0.0082
29.9080	0.0095
34.9830	0.0112
40.0388	0.0131
45.0838	0.0151
49.9450	0.0169
55.0200	0.0184
59.9004	0.0200
64.9904	0.0215
70.0692	0.0232
74.9364	0.0254
79.9908	0.0278
85.0308	0.0300
90.0864	0.0322
94.9536	0.0341
100.0140	0.0364
105.0640	0.0381
110.0948	0.0396
114.9044	0.0409
119.9364	0.0427
124.9964	0.0434
130.0608	0.0438
134.9280	0.0451
139.9840	0.0462
145.0190	0.0468
150.0720	0.0478
154.9488	0.0483
160.0198	0.0492
165.0748	0.0496
169.9372	0.0499
175.0222	0.0506
180.0896	0.0514
184.9184	0.0514
189.9610	0.0520
195.0360	0.0521
199.9044	0.0524
204.9644	0.0526
210.0112	0.0531
215.0162	0.0529
220.0272	0.0529
225.0572	0.0525
230.0848	0.0523
234.9040	0.0523
239.9250	0.0516
244.9500	0.0518
249.9770	0.0525
255.0120	0.0522
260.0450	0.0521
265.0700	0.0525
270.0990	0.0524
274.9422	0.0523
279.9872	0.0522
285.0322	0.0522
290.0748	0.0516
294.9036	0.0517
299.9324	0.0514
304.9524	0.0512
309.9706	0.0510
314.9756	0.0518
319.9806	0.0525
324.9856	0.0536
329.9894	0.0536
334.9844	0.0533
339.9788	0.0527
344.9688	0.0527
349.9504	0.0519
355.0672	0.0522
359.9928	0.0512
364.9478	0.0505
369.9036	0.0507
375.0620	0.0500
380.0190	0.0501
384.9640	0.0500
389.9080	0.0495
395.0456	0.0496
399.9868	0.0496
404.9318	0.0501
410.0704	0.0502
415.0004	0.0503
419.9248	0.0502
425.0312	0.0500
429.9460	0.0500
435.0680	0.0501
439.9840	0.0498
445.0800	0.0498
449.9680	0.0496
455.0328	0.0500
459.9072	0.0497
464.9824	0.0500
470.0498	0.0496
474.9148	0.0495
479.9296	0.0493
484.9060	0.0499
490.0636	0.0497
495.0244	0.0504
499.9852	0.0507
504.9460	0.0507
510.0712	0.0504
515.0008	0.0515
520.0750	0.0514
524.9576	0.0524
530.0228	0.0524
535.0740	0.0531
540.0636	0.0526
545.0280	0.0526
549.9420	0.0535
555.0128	0.0531
560.0584	0.0534
565.0280	0.0535
569.9672	0.0529
574.9154	0.0534
579.9696	0.0528
585.0164	0.0537
589.9378	0.0544
594.9272	0.0545
599.9320	0.0543
