# B(mT)	 U (V)	 std (V)	 direction 	 loop 
9.9300	-0.0174	0.0023	1.0000	1.0000
14.9300	-0.0291	0.0028	1.0000	1.0000
19.9742	-0.0410	0.0024	1.0000	1.0000
25.0392	-0.0527	0.0026	1.0000	1.0000
29.9080	-0.0637	0.0024	1.0000	1.0000
34.9830	-0.0762	0.0024	1.0000	1.0000
40.0388	-0.0889	0.0023	1.0000	1.0000
45.0838	-0.1005	0.0025	1.0000	1.0000
49.9450	-0.1126	0.0023	1.0000	1.0000
55.0200	-0.1253	0.0025	1.0000	1.0000
59.9004	-0.1363	0.0025	1.0000	1.0000
64.9904	-0.1481	0.0022	1.0000	1.0000
70.0692	-0.1597	0.0022	1.0000	1.0000
74.9364	-0.1708	0.0026	1.0000	1.0000
79.9908	-0.1820	0.0023	1.0000	1.0000
85.0308	-0.1934	0.0024	1.0000	1.0000
90.0864	-0.2041	0.0022	1.0000	1.0000
94.9536	-0.2143	0.0023	1.0000	1.0000
100.0140	-0.2246	0.0022	1.0000	1.0000
105.0640	-0.2349	0.0022	1.0000	1.0000
110.0948	-0.2449	0.0023	1.0000	1.0000
114.9044	-0.2529	0.0022	1.0000	1.0000
119.9364	-0.2611	0.0023	1.0000	1.0000
124.9964	-0.2685	0.0026	1.0000	1.0000
130.0608	-0.2746	0.0023	1.0000	1.0000
134.9280	-0.2791	0.0023	1.0000	1.0000
139.9840	-0.2833	0.0020	1.0000	1.0000
145.0190	-0.2870	0.0023	1.0000	1.0000
150.0720	-0.2894	0.0023	1.0000	1.0000
154.9488	-0.2913	0.0024	1.0000	1.0000
160.0198	-0.2934	0.0023	1.0000	1.0000
165.0748	-0.2955	0.0022	1.0000	1.0000
169.9372	-0.2966	0.0022	1.0000	1.0000
175.0222	-0.2977	0.0025	1.0000	1.0000
180.0896	-0.2980	0.0022	1.0000	1.0000
184.9184	-0.2994	0.0023	1.0000	1.0000
189.9610	-0.3001	0.0024	1.0000	1.0000
195.0360	-0.3000	0.0025	1.0000	1.0000
199.9044	-0.3010	0.0026	1.0000	1.0000
204.9644	-0.3010	0.0024	1.0000	1.0000
210.0112	-0.3012	0.0024	1.0000	1.0000
215.0162	-0.3015	0.0022	1.0000	1.0000
220.0272	-0.3017	0.0024	1.0000	1.0000
225.0572	-0.3017	0.0021	1.0000	1.0000
230.0848	-0.3022	0.0021	1.0000	1.0000
234.9040	-0.3022	0.0024	1.0000	1.0000
239.9250	-0.3026	0.0025	1.0000	1.0000
244.9500	-0.3022	0.0022	1.0000	1.0000
249.9770	-0.3022	0.0025	1.0000	1.0000
255.0120	-0.3019	0.0022	1.0000	1.0000
260.0450	-0.3019	0.0022	1.0000	1.0000
265.0700	-0.3019	0.0023	1.0000	1.0000
270.0990	-0.3014	0.0024	1.0000	1.0000
274.9422	-0.3012	0.0024	1.0000	1.0000
279.9872	-0.3013	0.0023	1.0000	1.0000
285.0322	-0.3005	0.0026	1.0000	1.0000
290.0748	-0.3008	0.0022	1.0000	1.0000
294.9036	-0.3006	0.0022	1.0000	1.0000
299.9324	-0.3003	0.0023	1.0000	1.0000
304.9524	-0.3003	0.0022	1.0000	1.0000
309.9706	-0.3000	0.0025	1.0000	1.0000
314.9756	-0.2990	0.0022	1.0000	1.0000
319.9806	-0.2991	0.0022	1.0000	1.0000
324.9856	-0.2986	0.0022	1.0000	1.0000
329.9894	-0.2987	0.0021	1.0000	1.0000
334.9844	-0.2981	0.0023	1.0000	1.0000
339.9788	-0.2979	0.0025	1.0000	1.0000
344.9688	-0.2979	0.0023	1.0000	1.0000
349.9504	-0.2972	0.0027	1.0000	1.0000
355.0672	-0.2970	0.0021	1.0000	1.0000
359.9928	-0.2963	0.0024	1.0000	1.0000
364.9478	-0.2958	0.0023	1.0000	1.0000
369.9036	-0.2953	0.0026	1.0000	1.0000
375.0620	-0.2947	0.0026	1.0000	1.0000
380.0190	-0.2950	0.0021	1.0000	1.0000
384.9640	-0.2946	0.0023	1.0000	1.0000
389.9080	-0.2941	0.0021	1.0000	1.0000
395.0456	-0.2939	0.0025	1.0000	1.0000
399.9868	-0.2936	0.0027	1.0000	1.0000
404.9318	-0.2926	0.0025	1.0000	1.0000
410.0704	-0.2922	0.0024	1.0000	1.0000
415.0004	-0.2919	0.0024	1.0000	1.0000
419.9248	-0.2917	0.0023	1.0000	1.0000
425.0312	-0.2913	0.0023	1.0000	1.0000
429.9460	-0.2907	0.0023	1.0000	1.0000
435.0680	-0.2901	0.0024	1.0000	1.0000
439.9840	-0.2900	0.0025	1.0000	1.0000
445.0800	-0.2893	0.0026	1.0000	1.0000
449.9680	-0.2896	0.0024	1.0000	1.0000
455.0328	-0.2888	0.0022	1.0000	1.0000
459.9072	-0.2887	0.0023	1.0000	1.0000
464.9824	-0.2877	0.0023	1.0000	1.0000
470.0498	-0.2873	0.0023	1.0000	1.0000
474.9148	-0.2866	0.0024	1.0000	1.0000
479.9296	-0.2862	0.0021	1.0000	1.0000
484.9060	-0.2856	0.0025	1.0000	1.0000
490.0636	-0.2856	0.0024	1.0000	1.0000
495.0244	-0.2848	0.0026	1.0000	1.0000
499.9852	-0.2846	0.0025	1.0000	1.0000
504.9460	-0.2844	0.0022	1.0000	1.0000
510.0712	-0.2837	0.0024	1.0000	1.0000
515.0008	-0.2833	0.0025	1.0000	1.0000
520.0750	-0.2824	0.0025	1.0000	1.0000
524.9576	-0.2828	0.0022	1.0000	1.0000
530.0228	-0.2812	0.0023	1.0000	1.0000
535.0740	-0.2807	0.0026	1.0000	1.0000
540.0636	-0.2805	0.0025	1.0000	1.0000
545.0280	-0.2805	0.0022	1.0000	1.0000
549.9420	-0.2796	0.0022	1.0000	1.0000
555.0128	-0.2795	0.0022	1.0000	1.0000
560.0584	-0.2790	0.0023	1.0000	1.0000
565.0280	-0.2783	0.0022	1.0000	1.0000
569.9672	-0.2772	0.0022	1.0000	1.0000
574.9154	-0.2769	0.0024	1.0000	1.0000
579.9696	-0.2766	0.0025	1.0000	1.0000
585.0164	-0.2758	0.0024	1.0000	1.0000
589.9378	-0.2756	0.0023	1.0000	1.0000
594.9272	-0.2749	0.0023	1.0000	1.0000
599.9320	-0.2742	0.0021	1.0000	1.0000
600.0080	-0.2726	0.0022	-1.0000	1.0000
595.0160	-0.2734	0.0022	-1.0000	1.0000
590.0000	-0.2734	0.0021	-1.0000	1.0000
585.0388	-0.2737	0.0021	-1.0000	1.0000
580.0038	-0.2746	0.0022	-1.0000	1.0000
574.9880	-0.2751	0.0024	-1.0000	1.0000
570.0180	-0.2748	0.0024	-1.0000	1.0000
564.9900	-0.2757	0.0022	-1.0000	1.0000
560.0078	-0.2761	0.0026	-1.0000	1.0000
554.9936	-0.2763	0.0023	-1.0000	1.0000
550.0712	-0.2766	0.0024	-1.0000	1.0000
544.9430	-0.2769	0.0023	-1.0000	1.0000
539.9646	-0.2777	0.0023	-1.0000	1.0000
535.0800	-0.2787	0.0023	-1.0000	1.0000
