# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
114.9044	-0.2528	-114.9806	0.1779
119.9364	-0.2606	-120.0420	0.1861
124.9964	-0.2676	-125.0670	0.1938
130.0608	-0.2738	-129.8998	0.1994
134.9280	-0.2792	-134.9448	0.2043
139.9840	-0.2832	-139.9942	0.2082
145.0190	-0.2864	-145.0492	0.2114
150.0720	-0.2889	-149.9040	0.2140
154.9488	-0.2905	-154.9640	0.2166
160.0198	-0.2928	-160.0100	0.2180
165.0748	-0.2946	-165.0350	0.2191
169.9372	-0.2953	-170.0660	0.2203
175.0222	-0.2964	-174.9044	0.2211
180.0896	-0.2974	-179.9444	0.2222
184.9184	-0.2980	-184.9844	0.2227
189.9610	-0.2987	-190.0550	0.2234
195.0360	-0.2993	-194.9750	0.2242
199.9044	-0.2996	-200.0328	0.2244
204.9644	-0.3002	-204.9478	0.2249
210.0112	-0.3002	-209.9108	0.2253
215.0162	-0.3007	-214.9758	0.2253
220.0272	-0.3006	-220.0584	0.2252
225.0572	-0.3011	-224.9736	0.2256
230.0848	-0.3014	-230.0516	0.2268
234.9040	-0.3012	-235.0216	0.2263
239.9250	-0.3016	-240.0140	0.2260
244.9500	-0.3014	-245.0640	0.2259
249.9770	-0.3012	-249.9096	0.2260
255.0120	-0.3011	-254.9496	0.2259
260.0450	-0.3015	-259.9860	0.2265
265.0700	-0.3010	-265.0110	0.2265
270.0990	-0.3014	-270.0312	0.2257
274.9422	-0.3007	-275.0362	0.2259
279.9872	-0.3005	-280.0496	0.2257
285.0322	-0.2999	-285.0896	0.2254
290.0748	-0.2997	-289.9210	0.2249
294.9036	-0.2996	-294.9260	0.2248
299.9324	-0.2989	-299.9310	0.2248
304.9524	-0.2996	-304.9360	0.2240
309.9706	-0.2988	-309.9320	0.2244
314.9756	-0.2987	-315.0904	0.2235
319.9806	-0.2985	-320.0588	0.2235
324.9856	-0.2981	-325.0538	0.2234
329.9894	-0.2982	-330.0416	0.2220
334.9844	-0.2973	-335.0066	0.2217
339.9788	-0.2974	-339.9644	0.2217
344.9688	-0.2970	-345.0968	0.2219
349.9504	-0.2965	-350.0570	0.2211
355.0672	-0.2962	-355.0820	0.2202
359.9928	-0.2954	-360.0762	0.2209
364.9478	-0.2953	-364.9912	0.2197
369.9036	-0.2944	-369.9398	0.2190
375.0620	-0.2938	-374.9748	0.2186
380.0190	-0.2942	-379.9930	0.2189
384.9640	-0.2937	-384.9680	0.2189
389.9080	-0.2931	-389.9332	0.2177
395.0456	-0.2929	-395.0708	0.2173
399.9868	-0.2925	-399.9948	0.2171
404.9318	-0.2919	-405.0804	0.2171
410.0704	-0.2914	-409.9722	0.2157
415.0004	-0.2911	-415.0630	0.2151
419.9248	-0.2911	-419.9600	0.2149
425.0312	-0.2906	-425.0560	0.2152
429.9460	-0.2898	-429.9626	0.2143
435.0680	-0.2891	-435.0742	0.2146
439.9840	-0.2890	-439.9604	0.2138
445.0800	-0.2880	-445.0096	0.2139
449.9680	-0.2882	-450.0280	0.2130
455.0328	-0.2877	-455.0200	0.2127
459.9072	-0.2873	-460.0760	0.2127
464.9824	-0.2865	-464.9760	0.2120
470.0498	-0.2859	-470.0040	0.2113
474.9148	-0.2858	-474.9960	0.2114
479.9296	-0.2854	-480.0108	0.2110
484.9060	-0.2850	-485.0340	0.2098
490.0636	-0.2848	-490.0614	0.2088
495.0244	-0.2836	-495.0898	0.2088
499.9852	-0.2835	-500.0032	0.2087
504.9460	-0.2831	-505.0900	0.2088
510.0712	-0.2832	-510.0820	0.2075
515.0008	-0.2821	-515.0668	0.2065
520.0750	-0.2815	-519.9652	0.2065
524.9576	-0.2813	-525.0560	0.2063
530.0228	-0.2805	-529.9752	0.2050
535.0740	-0.2799	-535.0292	0.2051
540.0636	-0.2795	-539.9540	0.2052
545.0280	-0.2792	-545.0456	0.2036
549.9420	-0.2782	-549.9380	0.2032
555.0128	-0.2783	-555.0260	0.2029
560.0584	-0.2775	-559.9400	0.2027
565.0280	-0.2771	-564.9732	0.2018
569.9672	-0.2765	-569.9506	0.2019
574.9154	-0.2762	-575.0566	0.2015
579.9696	-0.2759	-580.0456	0.2005
585.0164	-0.2750	-585.0428	0.2007
589.9378	-0.2746	-590.0764	0.1996
594.9272	-0.2744	-595.0092	0.1989
599.9320	-0.2738	-600.0208	0.1984
