# B_up (mT)	 U_up (V) 	 Bdown (mT) 	 U_down (V) 
114.9044	0.0409	-114.9806	-0.0294
119.9364	0.0422	-120.0420	-0.0304
124.9964	0.0428	-125.0670	-0.0321
130.0608	0.0439	-129.8998	-0.0328
134.9280	0.0445	-134.9448	-0.0329
139.9840	0.0453	-139.9942	-0.0336
145.0190	0.0459	-145.0492	-0.0342
150.0720	0.0462	-149.9040	-0.0344
154.9488	0.0465	-154.9640	-0.0356
160.0198	0.0469	-160.0100	-0.0364
165.0748	0.0466	-165.0350	-0.0366
169.9372	0.0475	-170.0660	-0.0373
175.0222	0.0475	-174.9044	-0.0385
180.0896	0.0477	-179.9444	-0.0386
184.9184	0.0482	-184.9844	-0.0382
189.9610	0.0491	-190.0550	-0.0379
195.0360	0.0489	-194.9750	-0.0384
199.9044	0.0491	-200.0328	-0.0381
204.9644	0.0489	-204.9478	-0.0384
210.0112	0.0493	-209.9108	-0.0388
215.0162	0.0492	-214.9758	-0.0388
220.0272	0.0489	-220.0584	-0.0388
225.0572	0.0493	-224.9736	-0.0385
230.0848	0.0490	-230.0516	-0.0391
234.9040	0.0493	-235.0216	-0.0398
239.9250	0.0498	-240.0140	-0.0404
244.9500	0.0499	-245.0640	-0.0410
249.9770	0.0496	-249.9096	-0.0404
255.0120	0.0499	-254.9496	-0.0408
260.0450	0.0501	-259.9860	-0.0408
265.0700	0.0500	-265.0110	-0.0417
270.0990	0.0509	-270.0312	-0.0416
274.9422	0.0508	-275.0362	-0.0414
279.9872	0.0509	-280.0496	-0.0418
285.0322	0.0514	-285.0896	-0.0427
290.0748	0.0511	-289.9210	-0.0426
294.9036	0.0510	-294.9260	-0.0411
299.9324	0.0508	-299.9310	-0.0420
304.9524	0.0506	-304.9360	-0.0410
309.9706	0.0507	-309.9320	-0.0406
314.9756	0.0498	-315.0904	-0.0409
319.9806	0.0493	-320.0588	-0.0409
324.9856	0.0491	-325.0538	-0.0421
329.9894	0.0491	-330.0416	-0.0428
334.9844	0.0486	-335.0066	-0.0430
339.9788	0.0488	-339.9644	-0.0430
344.9688	0.0488	-345.0968	-0.0439
349.9504	0.0492	-350.0570	-0.0447
355.0672	0.0494	-355.0820	-0.0458
359.9928	0.0496	-360.0762	-0.0465
364.9478	0.0493	-364.9912	-0.0458
369.9036	0.0500	-369.9398	-0.0458
375.0620	0.0502	-374.9748	-0.0450
380.0190	0.0507	-379.9930	-0.0450
384.9640	0.0504	-384.9680	-0.0448
389.9080	0.0508	-389.9332	-0.0448
395.0456	0.0509	-395.0708	-0.0442
399.9868	0.0515	-399.9948	-0.0446
404.9318	0.0514	-405.0804	-0.0448
410.0704	0.0519	-409.9722	-0.0447
415.0004	0.0516	-415.0630	-0.0453
419.9248	0.0520	-419.9600	-0.0450
425.0312	0.0518	-425.0560	-0.0440
429.9460	0.0514	-429.9626	-0.0445
435.0680	0.0513	-435.0742	-0.0454
439.9840	0.0516	-439.9604	-0.0453
445.0800	0.0513	-445.0096	-0.0454
449.9680	0.0509	-450.0280	-0.0467
455.0328	0.0507	-455.0200	-0.0476
459.9072	0.0502	-460.0760	-0.0483
464.9824	0.0502	-464.9760	-0.0500
470.0498	0.0497	-470.0040	-0.0505
474.9148	0.0497	-474.9960	-0.0508
479.9296	0.0498	-480.0108	-0.0503
484.9060	0.0499	-485.0340	-0.0503
490.0636	0.0494	-490.0614	-0.0497
495.0244	0.0498	-495.0898	-0.0496
499.9852	0.0496	-500.0032	-0.0492
504.9460	0.0494	-505.0900	-0.0487
510.0712	0.0488	-510.0820	-0.0486
515.0008	0.0481	-515.0668	-0.0497
520.0750	0.0480	-519.9652	-0.0497
524.9576	0.0470	-525.0560	-0.0492
530.0228	0.0464	-529.9752	-0.0491
535.0740	0.0457	-535.0292	-0.0495
540.0636	0.0454	-539.9540	-0.0494
545.0280	0.0466	-545.0456	-0.0494
549.9420	0.0472	-549.9380	-0.0495
555.0128	0.0465	-555.0260	-0.0499
560.0584	0.0466	-559.9400	-0.0500
565.0280	0.0468	-564.9732	-0.0503
569.9672	0.0473	-569.9506	-0.0504
574.9154	0.0481	-575.0566	-0.0510
579.9696	0.0481	-580.0456	-0.0512
585.0164	0.0484	-585.0428	-0.0505
589.9378	0.0489	-590.0764	-0.0512
594.9272	0.0495	-595.0092	-0.0513
599.9320	0.0491	-600.0208	-0.0519
