# B(mT)	 U (V)	 std (V)	 direction 	 loop 
-14.9760	-0.0095	0.0024	1.0000	1.0000
-9.9244	-0.0071	0.0023	1.0000	1.0000
-5.0668	-0.0056	0.0023	1.0000	1.0000
0.0148	-0.0037	0.0025	1.0000	1.0000
4.9012	-0.0021	0.0025	1.0000	1.0000
9.9300	-0.0001	0.0024	1.0000	1.0000
14.9300	0.0012	0.0022	1.0000	1.0000
19.9742	0.0029	0.0024	1.0000	1.0000
25.0392	0.0047	0.0022	1.0000	1.0000
29.9080	0.0072	0.0023	1.0000	1.0000
34.9830	0.0090	0.0020	1.0000	1.0000
40.0388	0.0120	0.0023	1.0000	1.0000
45.0838	0.0140	0.0022	1.0000	1.0000
49.9450	0.0160	0.0022	1.0000	1.0000
55.0200	0.0183	0.0024	1.0000	1.0000
59.9004	0.0200	0.0023	1.0000	1.0000
64.9904	0.0215	0.0023	1.0000	1.0000
70.0692	0.0236	0.0022	1.0000	1.0000
74.9364	0.0259	0.0023	1.0000	1.0000
79.9908	0.0279	0.0022	1.0000	1.0000
85.0308	0.0299	0.0023	1.0000	1.0000
90.0864	0.0322	0.0024	1.0000	1.0000
94.9536	0.0343	0.0021	1.0000	1.0000
100.0140	0.0360	0.0026	1.0000	1.0000
105.0640	0.0376	0.0023	1.0000	1.0000
110.0948	0.0392	0.0024	1.0000	1.0000
114.9044	0.0409	0.0023	1.0000	1.0000
119.9364	0.0422	0.0023	1.0000	1.0000
124.9964	0.0428	0.0023	1.0000	1.0000
130.0608	0.0439	0.0023	1.0000	1.0000
134.9280	0.0445	0.0024	1.0000	1.0000
139.9840	0.0453	0.0020	1.0000	1.0000
145.0190	0.0459	0.0022	1.0000	1.0000
150.0720	0.0462	0.0024	1.0000	1.0000
154.9488	0.0465	0.0024	1.0000	1.0000
160.0198	0.0469	0.0024	1.0000	1.0000
165.0748	0.0466	0.0021	1.0000	1.0000
169.9372	0.0475	0.0023	1.0000	1.0000
175.0222	0.0475	0.0023	1.0000	1.0000
180.0896	0.0477	0.0024	1.0000	1.0000
184.9184	0.0482	0.0022	1.0000	1.0000
189.9610	0.0491	0.0023	1.0000	1.0000
195.0360	0.0489	0.0024	1.0000	1.0000
199.9044	0.0491	0.0025	1.0000	1.0000
204.9644	0.0489	0.0021	1.0000	1.0000
210.0112	0.0493	0.0025	1.0000	1.0000
215.0162	0.0492	0.0023	1.0000	1.0000
220.0272	0.0489	0.0022	1.0000	1.0000
225.0572	0.0493	0.0023	1.0000	1.0000
230.0848	0.0490	0.0022	1.0000	1.0000
234.9040	0.0493	0.0022	1.0000	1.0000
239.9250	0.0498	0.0025	1.0000	1.0000
244.9500	0.0499	0.0024	1.0000	1.0000
249.9770	0.0496	0.0021	1.0000	1.0000
255.0120	0.0499	0.0026	1.0000	1.0000
260.0450	0.0501	0.0023	1.0000	1.0000
265.0700	0.0500	0.0023	1.0000	1.0000
270.0990	0.0509	0.0024	1.0000	1.0000
274.9422	0.0508	0.0023	1.0000	1.0000
279.9872	0.0509	0.0025	1.0000	1.0000
