# B(mT)	 U (V)	 std (V)	 direction 	 loop 
590.0000	0.0230	0.0025	-1.0000	1.0000
580.0038	0.0229	0.0026	-1.0000	1.0000
570.0180	0.0227	0.0020	-1.0000	1.0000
560.0078	0.0227	0.0025	-1.0000	1.0000
550.0712	0.0229	0.0024	-1.0000	1.0000
539.9646	0.0223	0.0026	-1.0000	1.0000
529.9840	0.0226	0.0025	-1.0000	1.0000
520.0124	0.0229	0.0025	-1.0000	1.0000
510.0160	0.0228	0.0023	-1.0000	1.0000
499.9108	0.0226	0.0024	-1.0000	1.0000
490.0404	0.0221	0.0025	-1.0000	1.0000
480.0148	0.0219	0.0024	-1.0000	1.0000
470.0720	0.0220	0.0024	-1.0000	1.0000
460.0528	0.0222	0.0026	-1.0000	1.0000
450.0554	0.0216	0.0024	-1.0000	1.0000
439.9902	0.0216	0.0026	-1.0000	1.0000
430.0844	0.0211	0.0026	-1.0000	1.0000
419.9164	0.0215	0.0023	-1.0000	1.0000
409.9200	0.0206	0.0026	-1.0000	1.0000
399.9600	0.0208	0.0025	-1.0000	1.0000
390.0852	0.0208	0.0023	-1.0000	1.0000
379.9386	0.0206	0.0023	-1.0000	1.0000
370.0556	0.0202	0.0025	-1.0000	1.0000
359.9592	0.0202	0.0025	-1.0000	1.0000
350.0012	0.0198	0.0024	-1.0000	1.0000
340.0940	0.0204	0.0025	-1.0000	1.0000
330.0412	0.0204	0.0026	-1.0000	1.0000
319.9000	0.0190	0.0027	-1.0000	1.0000
309.9360	0.0183	0.0029	-1.0000	1.0000
300.0020	0.0173	0.0022	-1.0000	1.0000
289.9820	0.0167	0.0026	-1.0000	1.0000
279.9440	0.0159	0.0025	-1.0000	1.0000
269.9160	0.0150	0.0024	-1.0000	1.0000
259.9180	0.0142	0.0025	-1.0000	1.0000
250.0662	0.0138	0.0023	-1.0000	1.0000
239.9446	0.0134	0.0024	-1.0000	1.0000
230.0340	0.0131	0.0025	-1.0000	1.0000
219.9788	0.0131	0.0024	-1.0000	1.0000
209.9868	0.0133	0.0026	-1.0000	1.0000
200.0280	0.0133	0.0024	-1.0000	1.0000
190.0332	0.0125	0.0025	-1.0000	1.0000
179.9584	0.0117	0.0023	-1.0000	1.0000
170.0938	0.0110	0.0025	-1.0000	1.0000
160.0152	0.0101	0.0023	-1.0000	1.0000
149.9168	0.0098	0.0026	-1.0000	1.0000
140.0124	0.0083	0.0024	-1.0000	1.0000
129.9136	0.0078	0.0025	-1.0000	1.0000
120.0700	0.0073	0.0024	-1.0000	1.0000
109.9400	0.0068	0.0024	-1.0000	1.0000
99.9672	0.0068	0.0025	-1.0000	1.0000
90.0502	0.0066	0.0024	-1.0000	1.0000
79.9294	0.0066	0.0025	-1.0000	1.0000
70.0480	0.0072	0.0024	-1.0000	1.0000
59.9628	0.0070	0.0027	-1.0000	1.0000
50.0354	0.0071	0.0023	-1.0000	1.0000
40.1000	0.0072	0.0025	-1.0000	1.0000
29.9820	0.0072	0.0024	-1.0000	1.0000
19.9000	0.0074	0.0025	-1.0000	1.0000
9.9868	0.0071	0.0025	-1.0000	1.0000
0.0856	0.0074	0.0023	-1.0000	1.0000
-9.9796	0.0074	0.0022	-1.0000	1.0000
-20.0896	0.0077	0.0026	-1.0000	1.0000
-29.9940	0.0069	0.0024	-1.0000	1.0000
-39.9016	0.0063	0.0026	-1.0000	1.0000
-50.0316	0.0062	0.0022	-1.0000	1.0000
-59.9620	0.0055	0.0025	-1.0000	1.0000
-70.0810	0.0050	0.0026	-1.0000	1.0000
-79.9664	0.0052	0.0024	-1.0000	1.0000
-89.9042	0.0041	0.0024	-1.0000	1.0000
-100.0326	0.0039	0.0026	-1.0000	1.0000
-110.0894	0.0036	0.0028	-1.0000	1.0000
-120.0420	0.0029	0.0024	-1.0000	1.0000
-129.8998	0.0024	0.0026	-1.0000	1.0000
-139.9942	0.0022	0.0024	-1.0000	1.0000
-149.9040	0.0022	0.0020	-1.0000	1.0000
-160.0100	0.0013	0.0021	-1.0000	1.0000
-170.0660	0.0008	0.0026	-1.0000	1.0000
-179.9444	-0.0000	0.0024	-1.0000	1.0000
-190.0550	-0.0001	0.0024	-1.0000	1.0000
-200.0328	-0.0006	0.0023	-1.0000	1.0000
-209.9108	-0.0008	0.0024	-1.0000	1.0000
-220.0584	-0.0012	0.0023	-1.0000	1.0000
-230.0516	-0.0025	0.0025	-1.0000	1.0000
-240.0140	-0.0023	0.0023	-1.0000	1.0000
-249.9096	-0.0024	0.0024	-1.0000	1.0000
-259.9860	-0.0032	0.0024	-1.0000	1.0000
-270.0312	-0.0028	0.0023	-1.0000	1.0000
-280.0496	-0.0039	0.0023	-1.0000	1.0000
-289.9210	-0.0038	0.0025	-1.0000	1.0000
-299.9310	-0.0045	0.0022	-1.0000	1.0000
-309.9320	-0.0048	0.0025	-1.0000	1.0000
-320.0588	-0.0053	0.0026	-1.0000	1.0000
-330.0416	-0.0059	0.0026	-1.0000	1.0000
-339.9644	-0.0058	0.0025	-1.0000	1.0000
-350.0570	-0.0059	0.0023	-1.0000	1.0000
-360.0762	-0.0064	0.0025	-1.0000	1.0000
-369.9398	-0.0066	0.0026	-1.0000	1.0000
-379.9930	-0.0064	0.0023	-1.0000	1.0000
-389.9332	-0.0063	0.0029	-1.0000	1.0000
-399.9948	-0.0063	0.0023	-1.0000	1.0000
