# I (A)	 Bup(mT) 	 Bdown (mT)
-4.00	671.57	674.41
-3.90	665.15	666.74
-3.80	658.23	658.77
-3.70	650.68	650.28
-3.60	642.80	641.21
-3.50	634.33	631.67
-3.40	625.10	621.36
-3.30	614.86	610.00
-3.20	603.62	597.53
-3.10	591.23	584.03
-3.00	577.08	568.95
-2.90	561.57	552.82
-2.80	544.80	536.01
-2.70	527.32	518.44
-2.60	509.31	500.21
-2.50	491.03	481.88
-2.40	472.44	463.22
-2.30	453.79	444.37
-2.20	435.14	425.58
-2.10	416.14	406.32
-2.00	397.13	387.33
-1.90	377.91	367.81
-1.80	358.64	348.54
-1.70	339.44	329.07
-1.60	320.17	309.69
-1.50	300.78	290.35
-1.40	281.22	270.81
-1.30	261.64	250.99
-1.20	242.03	230.99
-1.10	222.47	211.57
-1.00	202.94	192.20
-0.90	183.31	172.26
-0.80	163.63	152.60
-0.70	143.87	132.71
-0.60	124.13	113.14
-0.50	104.58	93.16
-0.40	84.86	73.41
-0.30	65.16	53.69
-0.20	45.33	33.83
-0.10	25.57	14.18
0.00	5.90	-5.59
0.10	-13.89	-25.41
0.20	-33.55	-45.22
0.30	-53.28	-65.04
0.40	-72.98	-84.75
0.50	-92.72	-104.51
0.60	-112.65	-124.25
0.70	-132.32	-144.06
0.80	-152.01	-163.68
0.90	-171.71	-183.36
1.00	-191.30	-202.78
1.10	-211.03	-222.65
1.20	-230.68	-242.40
1.30	-250.24	-262.03
1.40	-269.76	-281.44
1.50	-289.30	-301.01
1.60	-308.76	-320.60
1.70	-328.20	-339.89
1.80	-347.64	-359.40
1.90	-366.95	-378.50
2.00	-386.20	-397.76
2.10	-405.35	-416.82
2.20	-424.34	-435.90
2.30	-443.33	-454.71
2.40	-462.15	-473.60
2.50	-480.98	-492.27
2.60	-499.30	-510.50
2.70	-517.32	-528.45
2.80	-534.97	-546.07
2.90	-551.87	-562.72
3.00	-568.04	-578.51
3.10	-583.00	-592.63
3.20	-596.56	-605.21
3.30	-608.87	-616.35
3.40	-620.22	-626.63
3.50	-630.53	-635.84
3.60	-640.27	-644.29
3.70	-649.34	-652.50
3.80	-657.83	-659.89
3.90	-665.76	-666.88
4.00	-673.33	-673.32
